"Percentage"	"CladeReads"	"TaxonReads"	"TaxRank"	"TaxID"	"Name"	"Depth"	"TaxLineage"
95.2241	3983	921	"-"	1	"-_root"	0	"-_root"
94.124	3061	158	"-"	131567	"-_cellular organisms"	1	"-_root|-_cellular organisms"
90.5818	92	4	"D"	2759	"d_Eukaryota"	2	"-_root|-_cellular organisms|d_Eukaryota"
0.104992	88	0	"-"	33154	"-_Opisthokonta"	3	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta"
0.104992	88	0	"K"	4751	"k_Fungi"	4	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi"
0.104992	88	0	"-"	451864	"-_Dikarya"	5	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya"
0.104992	88	0	"P"	4890	"p_Ascomycota"	6	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota"
0.103799	87	0	"-"	716545	"-_saccharomyceta"	7	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta"
0.0942541	79	0	"-"	147538	"-_Pezizomycotina"	8	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina"
0.0942541	79	0	"-"	716546	"-_leotiomyceta"	9	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta"
0.0489167	41	0	"-"	715962	"-_dothideomyceta"	10	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta"
0.0489167	41	0	"C"	147541	"c_Dothideomycetes"	11	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes"
0.0489167	41	0	"-"	451868	"-_Pleosporomycetidae"	12	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae"
0.0489167	41	0	"O"	92860	"o_Pleosporales"	13	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales"
0.0489167	41	0	"-"	715340	"-_Pleosporineae"	14	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae"
0.0429512	36	0	"F"	683158	"f_Didymellaceae"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Didymellaceae"
0.0429512	36	0	"G"	5453	"g_Ascochyta"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Didymellaceae|g_Ascochyta"
0.0429512	36	36	"S"	5454	"s_Ascochyta rabiei"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Didymellaceae|g_Ascochyta|s_Ascochyta rabiei"
0.00596545	5	0	"F"	5020	"f_Phaeosphaeriaceae"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae"
0.00596545	5	0	"G"	1351751	"g_Parastagonospora"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae|g_Parastagonospora"
0.00596545	5	5	"S"	13684	"s_Parastagonospora nodorum"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_dothideomyceta|c_Dothideomycetes|-_Pleosporomycetidae|o_Pleosporales|-_Pleosporineae|f_Phaeosphaeriaceae|g_Parastagonospora|s_Parastagonospora nodorum"
0.0441443	37	0	"-"	715989	"-_sordariomyceta"	10	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta"
0.040565	34	0	"C"	147548	"c_Leotiomycetes"	11	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes"
0.040565	34	0	"O"	5178	"o_Helotiales"	12	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales"
0.040565	34	0	"F"	28983	"f_Sclerotiniaceae"	13	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae"
0.039372	33	2	"G"	33196	"g_Botrytis"	14	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Botrytis"
0.0345996	29	29	"S"	40559	"s_Botrytis cinerea"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Botrytis|s_Botrytis cinerea"
0.00238618	2	2	"S"	182092	"s_Botrytis fabae"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Botrytis|s_Botrytis fabae"
0.00119309	1	0	"G"	5179	"g_Sclerotinia"	14	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Sclerotinia"
0.00119309	1	1	"S"	5180	"s_Sclerotinia sclerotiorum"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Sclerotinia|s_Sclerotinia sclerotiorum"
0.00357927	3	0	"C"	147550	"c_Sordariomycetes"	11	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes"
0.00238618	2	0	"-"	222543	"-_Hypocreomycetidae"	12	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae"
