"Percentage"	"CladeReads"	"TaxonReads"	"TaxRank"	"TaxID"	"Name"	"Depth"	"TaxLineage"
69.3292	5023	432	"-"	1	"-_root"	0	"-_root"
68.9475	4547	1212	"-"	131567	"-_cellular organisms"	1	"-_root|-_cellular organisms"
65.6085	383	118	"D"	2759	"d_Eukaryota"	2	"-_root|-_cellular organisms|d_Eukaryota"
65.3166	19	3	"K"	33090	"k_Viridiplantae"	3	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae"
0.01283	16	0	"P"	3041	"p_Chlorophyta"	4	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta"
0.01283	16	0	"C"	1035538	"c_Mamiellophyceae"	5	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae"
0.01283	16	0	"O"	13792	"o_Mamiellales"	6	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales"
0.0104244	13	0	"F"	1525212	"f_Bathycoccaceae"	7	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Bathycoccaceae"
0.00641499	8	0	"G"	41874	"g_Bathycoccus"	8	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Bathycoccaceae|g_Bathycoccus"
0.00641499	8	8	"S"	41875	"s_Bathycoccus prasinos"	9	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Bathycoccaceae|g_Bathycoccus|s_Bathycoccus prasinos"
0.00400937	5	0	"G"	70447	"g_Ostreococcus"	8	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Bathycoccaceae|g_Ostreococcus"
0.00400937	5	5	"S"	70448	"s_Ostreococcus tauri"	9	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Bathycoccaceae|g_Ostreococcus|s_Ostreococcus tauri"
0.00240562	3	0	"F"	41873	"f_Mamiellaceae"	7	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Mamiellaceae"
0.00240562	3	0	"G"	38832	"g_Micromonas"	8	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Mamiellaceae|g_Micromonas"
0.00240562	3	3	"S"	296587	"s_Micromonas commoda"	9	"-_root|-_cellular organisms|d_Eukaryota|k_Viridiplantae|p_Chlorophyta|c_Mamiellophyceae|o_Mamiellales|f_Mamiellaceae|g_Micromonas|s_Micromonas commoda"
0.197261	246	0	"-"	33154	"-_Opisthokonta"	3	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta"
0.197261	246	0	"K"	4751	"k_Fungi"	4	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi"
0.196459	245	0	"-"	451864	"-_Dikarya"	5	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya"
0.19245	240	0	"P"	4890	"p_Ascomycota"	6	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota"
0.18844	235	0	"-"	716545	"-_saccharomyceta"	7	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta"
0.109055	136	0	"-"	147538	"-_Pezizomycotina"	8	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina"
0.109055	136	0	"-"	716546	"-_leotiomyceta"	9	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta"
0.0665555	83	0	"-"	715989	"-_sordariomyceta"	10	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta"
0.0416974	52	0	"C"	147550	"c_Sordariomycetes"	11	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes"
0.0264618	33	0	"-"	222543	"-_Hypocreomycetidae"	12	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae"
0.0224524	28	0	"O"	5125	"o_Hypocreales"	13	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales"
0.0216506	27	0	"F"	110618	"f_Nectriaceae"	14	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae"
0.0216506	27	1	"G"	5506	"g_Fusarium"	15	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium"
0.0088206	11	2	"-"	569360	"-_Fusarium sambucinum species complex"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium sambucinum species complex"
0.00400937	5	5	"S"	56646	"s_Fusarium venenatum"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium sambucinum species complex|s_Fusarium venenatum"
0.00320749	4	0	"S"	101028	"s_Fusarium pseudograminearum"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium sambucinum species complex|s_Fusarium pseudograminearum"
0.00320749	4	4	"-"	1028729	"-_Fusarium pseudograminearum CS3096"	18	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium sambucinum species complex|s_Fusarium pseudograminearum|-_Fusarium pseudograminearum CS3096"
0.00721686	9	2	"-"	171627	"-_Fusarium fujikuroi species complex"	16	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium fujikuroi species complex"
0.00320749	4	0	"S"	5127	"s_Fusarium fujikuroi"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium fujikuroi species complex|s_Fusarium fujikuroi"
0.00320749	4	4	"-"	1279085	"-_Fusarium fujikuroi IMI 58289"	18	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium fujikuroi species complex|s_Fusarium fujikuroi|-_Fusarium fujikuroi IMI 58289"
0.00240562	3	0	"S"	117187	"s_Fusarium verticillioides"	17	"-_root|-_cellular organisms|d_Eukaryota|-_Opisthokonta|k_Fungi|-_Dikarya|p_Ascomycota|-_saccharomyceta|-_Pezizomycotina|-_leotiomyceta|-_sordariomyceta|c_Sordariomycetes|-_Hypocreomycetidae|o_Hypocreales|f_Nectriaceae|g_Fusarium|-_Fusarium fujikuroi species complex|s_Fusarium verticillioides"
